year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,school_id
"2018","450366001040","Jesse Boyd Elementary","SC","Spartanburg 07","Primary","Regular school","No","34.957577","-81.877665","01040"
"2018","450363001031","Jesse S. Bobo Elementary","SC","Spartanburg 06","Primary","Regular school","No","34.947711","-81.980941","01031"
"2018","450264000705","Joanna Woodson Elementary","SC","Laurens 56","Primary","Regular school","No","34.405309","-81.811319","00705"
"2018","450069000002","John C. Calhoun Elementary","SC","Abbeville 60","Primary","Regular school","No","34.103701","-82.597752","00002"
"2018","450390301563","John De La Howe School","SC","John de la Howe","Missing/not reported","Regular school","No","33.955902","-82.418178","01563"
"2018","450150000284","John E. Ewing Middle","SC","Cherokee 01","Middle","Regular school","No","35.056339","-81.630047","00284"
"2018","450213000438","John W. Moore Middle","SC","Florence 01","Middle","Regular school","No","34.202683","-79.850914","00438"
"2018","450390800764","Johnakin Middle","SC","Marion 10","Middle","Regular school","No","34.170485","-79.388908","00764"
"2018","450222000737","Johnson Middle","SC","Florence 04","Middle","Regular school","No","34.122583","-79.93504","00737"
"2018","450225000466","Johnsonville Elementary","SC","Florence 05","Primary","Regular school","No","33.816656","-79.446072","00466"
"2018","450225000468","Johnsonville High","SC","Florence 05","High","Regular school","No","33.816049","-79.443159","00468"
"2018","450225000467","Johnsonville Middle","SC","Florence 05","Middle","Regular school","No","33.809583","-79.446528","00467"
"2018","450207000412","Johnston Elementary","SC","Edgefield 01","Primary","Regular school","No","33.834648","-81.804201","00412"
"2018","450207000037","Johnston-Edgefield-Trenton Middle","SC","Edgefield 01","Middle","Regular school","No","33.806773","-81.869289","00037"
"2018","450375001086","Jonesville Elementary Middle","SC","Union 01","Primary","Regular school","No","34.800167","-81.675403","01086"
"2018","450339000970","Joseph Keels Elementary","SC","Richland 02","Primary","Regular school","No","34.076836","-80.956143","00970"
"2018","450201001568","Joseph R. Pye Elementary","SC","Dorchester 02","Primary","Regular school","No","32.957112","-80.117506","01568"
"2018","450111000047","Joseph S. Shanklin Elementary","SC","Beaufort 01","Primary","Regular school","No","32.454336","-80.795397","00047"
"2018","450105000128","Kelly Edwards Elementary","SC","Barnwell 29","Primary","Regular school","No","33.399825","-81.405909","00128"
"2018","450339000927","Kelly Mill Middle","SC","Richland 02","Middle","Regular school","No","34.188737","-80.889436","00927"
"2018","450210000416","Kelly Miller Elementary","SC","Fairfield 01","Primary","Regular school","No","34.318055","-81.124621","00416"
"2018","450378001099","Kenneth Gardner Elementary","SC","Williamsburg 01","Primary","Regular school","No","33.688308","-79.838298","01099"
"2018","450228000473","Kensington Elementary","SC","Georgetown 01","Primary","Regular school","No","33.399893","-79.287881","00473"
"2018","450306000824","Keowee Elementary","SC","Oconee 01","Primary","Regular school","No","34.787732","-82.960469","00824"
"2018","450258000680","Kershaw Elementary","SC","Lancaster 01","Primary","Regular school","No","34.554041","-80.589135","00680"
"2018","450339000342","Killian Elementary","SC","Richland 02","Primary","Regular school","No","34.137683","-80.931372","00342"
"2018","450384001126","Kinard Elementary","SC","York 02","Primary","Regular school","No","35.11025","-81.23082","01126"
"2018","450390201453","Kingsbury Elementary","SC","Sumter 01","Primary","Regular school","No","33.889643","-80.367819","01453"
"2018","450249000628","Kingston Elementary","SC","Horry 01","Primary","Regular school","No","33.908428","-78.936184","00628"
"2018","450378001107","Kingstree Middle Magnet","SC","Williamsburg 01","Middle","Regular school","No","33.673943","-79.828099","01107"
"2018","450378001111","Kingstree Senior High","SC","Williamsburg 01","High","Regular school","No","33.654937","-79.817058","01111"
"2018","450201000395","Knightsville Elementary","SC","Dorchester 02","Primary","Regular school","No","33.008318","-80.237147","00395"
