ncessch,per_pupil_state,American Indian or Alaska Native,Asian,Black,Hispanic,Native Hawaiian or other Pacific Islander,Total,Two or more races,Unknown,White,year,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,school_id
510009000015.0,13150.0,1.0,163.0,281.0,268.0,0.0,1914.0,109.0,0.0,1092.0,2019,ALBEMARLE HIGH,VA,ALBEMARLE CO PBLC SCHS,High,Regular school,No,38.0762,-78.5012,15
510009000015.0,13150.0,1.0,163.0,281.0,268.0,0.0,1914.0,109.0,0.0,1092.0,2018,ALBEMARLE HIGH,VA,ALBEMARLE CO PBLC SCHS,High,Regular school,No,38.076167,-78.501162,15
510009001937.0,11685.0,0.0,36.0,51.0,89.0,0.0,640.0,52.0,0.0,412.0,2019,BAKER-BUTLER ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.1231,-78.4205,1937
510009001937.0,11685.0,0.0,36.0,51.0,89.0,0.0,640.0,52.0,0.0,412.0,2018,BAKER-BUTLER ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.123083,-78.420544,1937
510009000017.0,12391.0,1.0,1.0,8.0,19.0,0.0,280.0,14.0,0.0,237.0,2019,BROADUS WOOD ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.1622,-78.4898,17
510009000017.0,12391.0,1.0,1.0,8.0,19.0,0.0,280.0,14.0,0.0,237.0,2018,BROADUS WOOD ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.162156,-78.489809,17
510009000018.0,10527.0,0.0,33.0,19.0,43.0,0.0,817.0,46.0,0.0,676.0,2019,BROWNSVILLE ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.0521,-78.7031,18
510009000018.0,10527.0,0.0,33.0,19.0,43.0,0.0,817.0,46.0,0.0,676.0,2018,BROWNSVILLE ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.052126,-78.703138,18
510009000030.0,30756.0,0.0,1.0,6.0,5.0,0.0,89.0,4.0,0.0,73.0,2019,MURRAY HIGH,VA,ALBEMARLE CO PBLC SCHS,High,Regular school,Yes,38.0407,-78.4828,30
510009000030.0,30756.0,0.0,1.0,6.0,5.0,0.0,89.0,4.0,0.0,73.0,2018,MURRAY HIGH,VA,ALBEMARLE CO PBLC SCHS,High,Regular school,Yes,38.040712,-78.48276,30
510009000020.0,12512.0,0.0,7.0,9.0,21.0,2.0,363.0,17.0,0.0,307.0,2019,CROZET ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.0746,-78.6977,20
510009000020.0,12512.0,0.0,7.0,9.0,21.0,2.0,363.0,17.0,0.0,307.0,2018,CROZET ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.074636,-78.697725,20
510009000022.0,12433.0,3.0,84.0,15.0,34.0,0.0,440.0,42.0,0.0,262.0,2019,HOLLYMEAD ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.1124,-78.4393,22
510009000022.0,12433.0,3.0,84.0,15.0,34.0,0.0,440.0,42.0,0.0,262.0,2018,HOLLYMEAD ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.112445,-78.439264,22
510009000023.0,12089.0,2.0,31.0,130.0,134.0,1.0,609.0,45.0,0.0,266.0,2019,JACK JOUETT MIDDLE,VA,ALBEMARLE CO PBLC SCHS,Middle,Regular school,No,38.0773,-78.5066,23
510009000023.0,12089.0,2.0,31.0,130.0,134.0,1.0,609.0,45.0,0.0,266.0,2018,JACK JOUETT MIDDLE,VA,ALBEMARLE CO PBLC SCHS,Middle,Regular school,No,38.077283,-78.506644,23
510009000024.0,13008.0,0.0,29.0,103.0,118.0,0.0,584.0,40.0,0.0,294.0,2019,JACKSON P BURLEY MIDDLE,VA,ALBEMARLE CO PBLC SCHS,Middle,Regular school,No,38.0399,-78.4866,24
510009000024.0,13008.0,0.0,29.0,103.0,118.0,0.0,584.0,40.0,0.0,294.0,2018,JACKSON P BURLEY MIDDLE,VA,ALBEMARLE CO PBLC SCHS,Middle,Regular school,No,38.039854,-78.486567,24
510009000025.0,12568.0,1.0,39.0,15.0,48.0,1.0,899.0,27.0,0.0,768.0,2019,JOSEPH T HENLEY MIDDLE,VA,ALBEMARLE CO PBLC SCHS,Middle,Regular school,No,38.0521,-78.7058,25
510009000025.0,12568.0,1.0,39.0,15.0,48.0,1.0,899.0,27.0,0.0,768.0,2018,JOSEPH T HENLEY MIDDLE,VA,ALBEMARLE CO PBLC SCHS,Middle,Regular school,No,38.052143,-78.705787,25
510009000751.0,12830.0,1.0,58.0,59.0,54.0,0.0,590.0,28.0,0.0,390.0,2019,MORTIMER Y SUTHERLAND MIDDLE,VA,ALBEMARLE CO PBLC SCHS,Middle,Regular school,No,38.1124,-78.4369,751
510009000751.0,12830.0,1.0,58.0,59.0,54.0,0.0,590.0,28.0,0.0,390.0,2018,MORTIMER Y SUTHERLAND MIDDLE,VA,ALBEMARLE CO PBLC SCHS,Middle,Regular school,No,38.112441,-78.436908,751
510009000026.0,13963.0,0.0,8.0,32.0,33.0,1.0,358.0,17.0,0.0,267.0,2019,LESLIE H WALTON MIDDLE,VA,ALBEMARLE CO PBLC SCHS,Middle,Regular school,No,37.9215,-78.5522,26
510009000026.0,13963.0,0.0,8.0,32.0,33.0,1.0,358.0,17.0,0.0,267.0,2018,LESLIE H WALTON MIDDLE,VA,ALBEMARLE CO PBLC SCHS,Middle,Regular school,No,37.921497,-78.552238,26
510009000027.0,13125.0,0.0,61.0,177.0,149.0,2.0,577.0,38.0,0.0,150.0,2019,MARY CARR GREER ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.078942,-78.505822,27
510009000027.0,13125.0,0.0,61.0,177.0,149.0,2.0,577.0,38.0,0.0,150.0,2018,MARY CARR GREER ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.078942,-78.505822,27
510009000028.0,11916.0,0.0,9.0,1.0,17.0,1.0,405.0,8.0,0.0,369.0,2019,MERIWETHER LEWIS ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.0811,-78.5981,28
510009000028.0,11916.0,0.0,9.0,1.0,17.0,1.0,405.0,8.0,0.0,369.0,2018,MERIWETHER LEWIS ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.0811,-78.598135,28
510009001747.0,13087.0,1.0,25.0,138.0,167.0,1.0,1138.0,69.0,0.0,737.0,2019,MONTICELLO HIGH,VA,ALBEMARLE CO PBLC SCHS,High,Regular school,No,37.9989,-78.4892,1747
510009001747.0,13087.0,1.0,25.0,138.0,167.0,1.0,1138.0,69.0,0.0,737.0,2018,MONTICELLO HIGH,VA,ALBEMARLE CO PBLC SCHS,High,Regular school,No,37.998854,-78.489226,1747
510009002173.0,12691.0,1.0,18.0,53.0,232.0,1.0,683.0,56.0,0.0,322.0,2019,PAUL H CALE ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,37.9963,-78.4995,2173
510009002173.0,12691.0,1.0,18.0,53.0,232.0,1.0,683.0,56.0,0.0,322.0,2018,PAUL H CALE ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,37.996295,-78.499535,2173
