year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2018","240024000564","Cherry Hill Middle","MD","Cecil County Public Schools","Middle","Regular school","No","456"
"2018","240006000042","Chesapeake Bay Middle","MD","Anne Arundel County Public Schools","Middle","Regular school","No","1027"
"2018","240060001639","Chesapeake Charter School","MD","St. Marys County Public Schools","Primary","Regular school","Yes","440"
"2018","240024000565","Chesapeake City Elementary","MD","Cecil County Public Schools","Primary","Regular school","No","347"
"2018","240012000362","Chesapeake High","MD","Baltimore County Public Schools","High","Regular school","No","981"
"2018","240006000058","Chesapeake High","MD","Anne Arundel County Public Schools","High","Regular school","No","1379"
"2018","240051001725","Chesapeake Math and IT Elementary Public Charter","MD","Prince Georges County Public Schools","Missing/not reported","Regular school","Yes",""
"2018","240051001708","Chesapeake Math and IT Public Charter","MD","Prince Georges County Public Schools","Other","Regular school","Yes","1618"
"2018","240051001726","Chesapeake Math and IT South Public Charter","MD","Prince Georges County Public Schools","Other","Regular school","Yes","1183"
"2018","240006001401","Chesapeake Science Point","MD","Anne Arundel County Public Schools","High","Regular school","Yes","463"
"2018","240012000363","Chesapeake Terrace Elementary","MD","Baltimore County Public Schools","Primary","Regular school","No","316"
"2018","240048000803","Chevy Chase Elementary","MD","Montgomery County Public Schools","Primary","Regular school","No","452"
"2018","240051001009","Chillum Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","369"
"2018","240030000841","Choptank Elementary School","MD","Dorchester County Public Schools","Primary","Regular school","No","392"
"2018","240060001218","Chopticon High","MD","St. Marys County Public Schools","High","Regular school","No","1679"
"2018","240039000468","Church Creek Elementary","MD","Harford County Public Schools","Primary","Regular school","No","738"
"2018","240054001192","Church Hill Elementary School","MD","Queen Annes County Public Schools","Primary","Regular school","No","271"
"2018","240012000364","Church Lane Elementary Technology","MD","Baltimore County Public Schools","Primary","Regular school","No","386"
"2018","240039000684","Churchville Elementary","MD","Harford County Public Schools","Primary","Regular school","No","393"
"2018","240009001478","City Neighbors Charter School","MD","Baltimore City Public Schools","Primary","Regular school","Yes","232"
"2018","240009001680","City Neighbors Hamilton","MD","Baltimore City Public Schools","Primary","Regular school","Yes","235"
"2018","240009001690","City Neighbors High","MD","Baltimore City Public Schools","High","Regular school","Yes","417"
"2018","240009000175","City Springs Elementary/Middle","MD","Baltimore City Public Schools","Primary","Regular school","Yes","704"
"2018","240009000176","Claremont School","MD","Baltimore City Public Schools","High","Special education school","No","58"
"2018","240048000804","Clarksburg Elementary","MD","Montgomery County Public Schools","Primary","Regular school","No","529"
"2018","240048001541","Clarksburg High","MD","Montgomery County Public Schools","High","Regular school","No","2338"
"2018","240042000724","Clarksville Elementary","MD","Howard County Public Schools","Primary","Regular school","No","419"
"2018","240042000725","Clarksville Middle","MD","Howard County Public Schools","Middle","Regular school","No","666"
"2018","240066001259","Clear Spring Elementary","MD","Washingtion County Public Schools","Primary","Regular school","No","421"
"2018","240066001260","Clear Spring High","MD","Washingtion County Public Schools","High","Regular school","No","462"
"2018","240066001261","Clear Spring Middle","MD","Washingtion County Public Schools","Middle","Regular school","No","348"
"2018","240048001514","Clearspring Elementary","MD","Montgomery County Public Schools","Primary","Regular school","No","618"
