year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2018","370225000974","East Hoke Middle","NC","Hoke County Schools","Middle","Regular school","No","737"
"2018","370231000985","East Iredell Elementary","NC","Iredell-Statesville Schools","Primary","Regular school","No","858"
"2018","370231000807","East Iredell Middle","NC","Iredell-Statesville Schools","Middle","Regular school","No","503"
"2018","370256001076","East Lee Middle","NC","Lee County Schools","Middle","Regular school","No","643"
"2018","370268001110","East Lincoln High","NC","Lincoln County Schools","High","Regular school","No","952"
"2018","370268001111","East Lincoln Middle","NC","Lincoln County Schools","Middle","Regular school","No","682"
"2018","370294001175","East McDowell Middle School","NC","McDowell County Schools","Middle","Regular school","No","609"
"2018","370297001214","East Mecklenburg High","NC","Charlotte-Mecklenburg Schools","High","Regular school","No","2068"
"2018","370306002267","East Middle","NC","Montgomery County Schools","Middle","Regular school","No","501"
"2018","370472001854","East Millbrook Middle","NC","Wake County Schools","Middle","Regular school","No","790"
"2018","370306001307","East Montgomery High","NC","Montgomery County Schools","High","Regular school","No","504"
"2018","370312002779","East Mooresville Intermediate","NC","Mooresville Graded School District","Middle","Regular school","No","683"
"2018","370393002050","East Robeson Primary","NC","Public Schools of Robeson County","Primary","Regular school","No","530"
"2018","370387003209","East Rockingham Elementary","NC","Richmond County Schools","Primary","Regular school","No","541"
"2018","370405001616","East Rowan High","NC","Rowan-Salisbury Schools","High","Regular school","No","975"
"2018","370408001640","East Rutherford High School","NC","Rutherford County Schools","High","Regular school","No","730"
"2018","370408001648","East Rutherford Middle School","NC","Rutherford County Schools","Middle","Regular school","No","578"
"2018","370441001748","East Surry High","NC","Surry County Schools","High","Regular school","No","582"
"2018","370462001790","East Union Middle","NC","Union County Public Schools","Middle","Regular school","No","774"
"2018","370042403453","East Voyager Academy of Charlotte","NC","East Voyager Academy","Primary","Regular school","Yes","89"
"2018","370007002416","East Wake Academy","NC","East Wake Academy","Other","Regular school","Yes","1186"
"2018","370472001855","East Wake High","NC","Wake County Schools","High","Regular school","No","1335"
"2018","370472002255","East Wake Middle","NC","Wake County Schools","Middle","Regular school","No","658"
"2018","370495001974","East Wilkes High School","NC","Wilkes County Schools","High","Regular school","No","485"
"2018","370495002655","East Wilkes Middle School","NC","Wilkes County Schools","Middle","Regular school","No","401"
"2018","370507002028","East Yancey Middle","NC","Yancey County Schools","Middle","Regular school","No","283"
"2018","370003000006","Eastern Alamance High","NC","Alamance-Burlington Schools","High","Regular school","No","1224"
"2018","370033001922","Eastern Elementary","NC","Beaufort County Schools","Primary","Regular school","No","580"
"2018","370001202138","Eastern Elementary","NC","Pitt County Schools","Primary","Regular school","No","788"
"2018","370192000821","Eastern Guilford High","NC","Guilford County Schools","High","Regular school","No","1315"
"2018","370192000832","Eastern Guilford Middle","NC","Guilford County Schools","Middle","Regular school","No","1055"
"2018","370032003235","Eastern NC School for the Deaf","NC","Deaf and Blind Schools","Other","Special education school","No","60"
"2018","370378001519","Eastern Randolph High","NC","Randolph County School System","High","Regular school","No","651"
"2018","370488001949","Eastern Wayne Elementary","NC","Wayne County Public Schools","Primary","Regular school","No","676"
"2018","370488001950","Eastern Wayne High","NC","Wayne County Public Schools","High","Regular school","No","964"
"2018","370488001951","Eastern Wayne Middle","NC","Wayne County Public Schools","Middle","Regular school","No","538"
"2018","370294001176","Eastfield Global Magnet School","NC","McDowell County Schools","Primary","Regular school","No","316"
"2018","370003000197","Eastlawn Elementary","NC","Alamance-Burlington Schools","Primary","Regular school","No","586"
"2018","370150000601","Easton Elementary School","NC","Winston Salem / Forsyth County Schools","Primary","Regular school","No","553"
"2018","370297001215","Eastover Elementary","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","444"
"2018","370001100405","Eastover-Central Elementary","NC","Cumberland County Schools","Primary","Regular school","No","397"
"2018","370126001850","Eastway Elementary","NC","Durham Public Schools","Primary","Regular school","No","527"
"2018","370297001216","Eastway Middle","NC","Charlotte-Mecklenburg Schools","Middle","Regular school","No","874"
"2018","370045003191","Eblen Intermediate","NC","Buncombe County Schools","Middle","Regular school","No","729"
"2018","370041903434","ECU Community School","NC","East Carolina Community School","Primary","Regular school","No","85"
"2018","370001100416","Ed V Baldwin Elementary","NC","Cumberland County Schools","Primary","Regular school","No","703"
"2018","370132002762","Edgecombe Early College High","NC","Edgecombe County Public Schools","High","Regular school","No","182"
